Young,Plate,Merdith,recalculate,new_model,
101,Laurentia,1001,1001,101,
102,Greenland,1002,1002,102,
318,Rockall,1003,1003,318,
NP,Valhalla orogeny stepback,1005,,as,
EP,Popelogan-Victoria arc,1007,,,
EP,Penobscot arc,1018,,,
EP,NSL-NAM,103,,,
108,West Avalonia,108,108,108,
184,Ganderia,171,171,184,
185,Carolinia,172,172,185,
109,Florida - Suwannee,,,109,
233,Florida (Peninsula),,,233,
???,Dashwoods and correlatives?,173,,,
EP,Cuyania (Precordillera),260,260,2601,
311,East Svalbard,311,,,
314,MGCR-ENG,314,,,
315,East Avalonia,315,,,
430,AMU-SIB,430,,,
456,Qaidam-Qilian-Alxa,456,,,
460,Chu Ili,460,,,
9012,TianShan,467,,,
201,Amazonia,2201,2201,201,
,Amazonian Fold Belts,,,2011,
,Phanerozoic Andes,,,2012,
,Sao Luiz Craton,,,2013,
???,SF,2204,2204,205,
,Borborema,2206,2206,2051,
,Gaois Massif,,,2052,
???,Parana,2202,2202,2053,
,SF fold belts,,,2054,
???,RDLP - NIco Perez Terrane,2203,2203,2041,
,Pampia,\,,2031,
???,,,,,
301,Baltica,3001,3001,302,
NP,Valhalla orogeny stepback,3002,,,
NP,SZ collide with baltica,3003,,,
401,Siberia,4001,4001,401,
,Siberia accretion?,,,4011,northern margin
,Siberia accretion?,,,4012,taimyr area
501,India,5501,5501,501,
,Phanerozoic India?,,,5011,
,Eastern Ghats,,,5012,
,Bhavani Palghat Shear Zone,,,5013,
,Southern Granulite Terrane,,,5014,
502,Sri Lanka,5502,5502,502,
,phanerozoic sri lanka?,,,5021,
,,,,,
503,Afif Abas,5503,5503,5031,
NP,Azania (Arabia Plate),5504,5504,5032,
,Azania (Danakil Plate),,,5033,
,Azania (Somalia Plate,,,5034,
NP,Galana arc,5506,,,
NP,Omani Basement,5507,,,
NP,Tokar Barka,5801,5801,5901,
,Tokar/Barka (Damakil Plate),,,59011,
NP,Haya,5802,5802,5902,
NP,Atmur-Delgo,5803,5803,5903,
NP,Gebeit/Gabgaba,5804,5804,5904,
,Egyptian Desert,5805,5805,5905,
NP,Midyan,5806,5806,5906,
,Midyan (Sinai Plate),,,59061,
NP,Hijaz,5807,5807,5907,
NP,Hulayfah,5808,5808,5908,
NP,Ha'il,5809,5809,5909,
NP,Ad Dawadimi,5811,5811,5911,
NP,Ar Rayn,5812,5812,5912,
NP,Jiddah,5813,5813,5913,
NP,Asir,5814,5814,5914,
NP,Tathlith,5815,5815,5915,
NP,Sa'al Metamorphic Complex,5816,5816,5916,
,Sa'al Metamorphic Complex (African Plate),,,59161,
NP,???,5817,5817,5917,
601,North China,6001,6001,601,
???,??,6002,,,
602,Cathaysia,6601,6601,602,
602,Yangtze,6603,6603,6021,
,Jiangang Orogen,,,6023,
,Panxi-Hannan Belt,,,6024,
,Outer Yangtze?,,,6025,
,,,,,
,,,,,
580,Tarim,6604,6604,580,
701,Congo,7701,7701,701,on the main african plate
,Congo,,,712,on the Lake Victoria Block
,Congo,,,713,on the Mozambique Block Plate
,Mozambique Belt,,,7131,on the Mozambique Block Plate
,Zambezi,,,7011,
,Lufiliian,,,7012,
,Damara Belt,,,7013,
,Kaoka Belt,,,7014,
,Mozambique Belt,,,7015,on main african plate
,Yaounde Domain,,,7016,
,Adamawa-yade domain,,,7017,
,Western Cameroon Domain,,,7018,
,Oubanguides,,,7019,
,Karamoja Belt,,,7030,
714,WAC,7703,7703,714,
,SM,,,7141,on the NW african plate
,anti atlas,,,7142,
,WAC passive margin?,,,7143,
???,Hoggar terranes,7704,7704,7144,including covered hoggar
715,SM,7705,7705,715,
,northern SM,,,7151,
,Kalahari,7702,7702,7030,
,Gariep Belt,,,7031,
,Saldania belt,,,7032,
,,,,,
,,,,,
,,,,,
???,Bayuda,7706,,,
702,Antongil,7707,7707,702,
,Masora,,,702,
,Antananarivo Craton,,,7021,
,Southern Madagascar,,,7022,
,Bemarivo Belt,,,7023,
,Madagacar (reworked),,,7024,
,,,,,
704,Seychelles,7708,7708,704,
???,Nigeria-Benin,7709,7709,760,
???,???,7710,,,
NP,Butana,7761,7761,750,
NP,E-WES,7763,7763,751,
,W-WES,,,7511,
709,EAO deformed crust?,,,7091,
,,,,,
NP,,7764,7764,752,
NP,,77641,77641,7521,
NP,SES,7765,7765,753,
,SES (Somalia Plate),,,7531,
801,SAC,8004,8004,801,
???,NAC,8001,8001,8011,
,Ross-Delamarian,,,8012,
,Tas,,,8013,
,Mossman,,,8014,
,Thomson,,,8015,
,Lachlan,,,8016,
,New England,,,8017,
???,DML,8802,8802,8024,
802,Mawson,8803,8803,802,
???,Rayner,8804,803,803,
???,Chrohn,8805,8805,8028,
???,CLB,8806,8806,8026,
9900,Panthalassa tripple junction,9000,9000,9000,
9901,unsure?,9001,9001,9001,
9904,Mirovoi ocean plate,9004,9004,9004,
9905,Mirovoi ocean plate,9005,9005,9005,
9906,Mirovoi ocean plate,9006,9006,9006,
9907,Mawson Sea,9007,9007,9007,
9908,SM Ocean,9008,9008,9008,
9909,India-SiberiaOcean,9009,9009,9009,
900,panthalassa?,9000,9000,9000,
9000,PTJ,9010,9010,9010,
9019,,9019,9019,9019,
9020,southern rheic,9020,9020,9020,
9021,western iapetus,9021,9021,9021,
902,Faralon,902,902,902,
919,Phoenix,919,919,919,
926,IZA,926,926,926,
902003,902003,Mag-Sib,Mag-Sib,,
902014,902014,Gac-africa,Gac-africa,,
